2010-07-20,6.49,6.49,5.25,5.35,237000.0
2010-07-21,5.27,5.31,4.08,4.25,226700.0
2010-07-22,4.25,4.59,4.15,4.24,62700.0
2010-07-23,4.15,4.25,3.88,4.02,70200.0
2010-07-26,4.02,4.22,3.93,3.98,69070.0
2010-07-27,4.15,4.15,3.97,4.04,11050.0
2010-07-28,4.09,4.19,4.06,4.09,32250.0
2010-07-29,4.18,4.19,3.95,4.03,68450.0
2010-07-30,4.0,4.08,3.95,3.99,23560.0
2010-08-02,4.15,4.15,4.02,4.03,16140.0
2010-08-03,4.02,4.05,3.95,3.9881,18900.0
2010-08-04,4.0,4.05,3.988,4.0,8950.0
2010-08-05,4.0,4.0,3.6,3.69,41849.0
2010-08-06,3.6921,3.9499,3.69,3.8981,46135.0
2010-08-09,3.8,4.0,3.8,3.9,30200.0
2010-08-10,3.89,4.01,3.826,4.0,55051.0
2010-08-11,3.832,3.99,3.83,3.83,6400.0
2010-08-12,3.8,3.8499,3.6501,3.7,27900.0
2010-08-13,3.8,4.43,3.8,4.39,103525.0
2010-08-16,4.35,4.42,4.1101,4.1511,22627.0
2010-08-17,4.2,4.2001,4.01,4.17,26075.0
2010-08-18,4.15,4.28,4.08,4.28,12800.0
2010-08-19,4.28,4.28,4.0,4.0,17837.0
2010-08-20,4.01,4.05,3.89,3.92,14100.0
2010-08-23,3.9,4.0,3.82,3.85,23930.0
2010-08-24,3.81,3.97,3.71,3.87,11675.0
2010-08-25,3.75,3.76,3.65,3.7,22550.0
2010-08-26,3.755,3.78,3.63,3.76,21750.0
2010-08-27,3.8099,3.9,3.8054,3.9,6400.0
2010-08-30,3.82,3.82,3.71,3.7499,13850.0
2010-08-31,3.91,3.91,3.73,3.85,9900.0
2010-09-01,3.78,3.95,3.65,3.8,18980.0
2010-09-02,3.8,3.87,3.8,3.82,5150.0
2010-09-03,3.97,3.97,3.75,3.75,18274.0
2010-09-07,3.96,3.97,3.765,3.81,10815.0
2010-09-08,3.8,3.8,3.75,3.79,6300.0
2010-09-09,3.76,3.77,3.72,3.72,9650.0
2010-09-10,3.93,3.93,3.7,3.7,6450.0
2010-09-13,3.95,4.11,3.88,4.06,47342.0
2010-09-14,4.097,4.097,3.99,4.0,20400.0
2010-09-15,4.0,4.1,4.0,4.0,11800.0
2010-09-16,4.0,4.0,3.78,3.8,10616.0
2010-09-17,4.05,4.05,3.8,3.8,5553.0
2010-09-20,3.97,3.97,3.97,3.97,100.0
2010-09-21,3.85,3.87,3.7801,3.7801,4700.0
2010-09-22,3.97,3.97,3.79,3.9,4823.0
2010-09-23,3.7801,3.83,3.65,3.8,8200.0
2010-09-24,3.76,3.95,3.68,3.76,45372.0
2010-09-27,3.76,3.88,3.63,3.66,37000.0
2010-09-28,3.67,3.88,3.66,3.67,13200.0
2010-09-29,3.7,3.9,3.7,3.86,30600.0
2010-09-30,3.87,3.95,3.86,3.95,5165.0
2010-10-01,3.95,4.4,3.7981,4.36,61980.0
2010-10-04,4.3,4.55,4.03,4.05,34198.0
2010-10-05,4.2159,4.4,4.19,4.31,30128.0
2010-10-06,4.29,4.29,4.26,4.26,248.0
2010-10-07,4.29,4.39,4.29,4.3,13420.0
2010-10-08,4.35,4.88,4.35,4.8,82003.0
2010-10-11,4.66,5.48,4.66,5.48,221788.0
2010-10-12,5.49,5.9,5.26,5.43,255101.0
2010-10-13,5.35,5.63,5.26,5.26,104302.0
2010-10-14,5.28,6.07,5.28,5.88,222948.0
2010-10-15,5.98,6.37,5.74,5.96,204876.0
2010-10-18,6.0,6.05,5.66,5.95,139816.0
2010-10-19,5.97,6.08,5.299,5.32,126922.0
2010-10-20,5.4,5.86,5.33,5.42,139295.0
2010-10-21,5.68,5.84,5.34,5.34,86471.0
2010-10-22,5.35,5.5052,5.35,5.45,18440.0
2010-10-25,5.54,5.75,5.45,5.72,69141.0
2010-10-26,5.7,6.15,5.65,5.905,125417.0
2010-10-27,5.91,5.91,5.61,5.79,42619.0
2010-10-28,5.85,6.04,5.65,5.86,47550.0
2010-10-29,5.99,5.99,5.69,5.69,26905.0
2010-11-01,5.8,6.14,5.8,6.05,118720.0
2010-11-02,6.15,7.44,6.1,6.95,1233828.0
2010-11-03,6.99,7.25,6.8,6.9,311100.0
2010-11-04,6.85,7.6102,6.85,7.03,414636.0
2010-11-05,7.1,8.13,6.88,7.73,589718.0
2010-11-08,7.98,8.43,7.74,8.0,246976.0
2010-11-09,8.2,8.3599,7.2,7.2312,271744.0
2010-11-10,7.2,7.7191,7.02,7.19,187142.0
2010-11-11,7.02,7.23,6.84,7.07,139363.0
2010-11-12,8.04,8.15,7.03,7.12,258588.0
2010-11-15,7.15,7.28,6.72,7.13,127645.0
2010-11-16,6.52,7.09,6.05,6.38,189613.0
2010-11-17,6.58,6.6099,6.0,6.2,138427.0
2010-11-18,6.27,6.45,6.0,6.0,81024.0
2010-11-19,6.0,6.02,5.71,5.78,66432.0
2010-11-22,5.8,6.21,5.76,6.04,61925.0
2010-11-23,5.89,6.24,5.75,6.11,36713.0
2010-11-24,6.28,6.29,6.06,6.11,33272.0
2010-11-26,6.1,6.1,5.92,6.1,15849.0
2010-11-29,6.04,6.04,5.57,5.59,80811.0
2010-11-30,5.71,5.71,5.06,5.26,131827.0
2010-12-01,5.44,5.4401,5.0201,5.13,44213.0
2010-12-02,5.1185,5.1185,4.6615,4.81,167361.0
2010-12-03,4.77,5.4165,4.77,5.3187,72306.0
2010-12-06,5.43,5.66,5.27,5.66,41976.0
2010-12-07,5.71,5.71,5.32,5.41,41976.0
2010-12-08,5.54,5.54,5.0506,5.09,19074.0
2010-12-09,5.22,5.22,4.96,5.17,29073.0
2010-12-10,5.56,5.56,5.05,5.14,39513.0
2010-12-13,5.0935,5.0935,4.92,5.02,33550.0
2010-12-14,5.14,5.23,5.0,5.01,53786.0
2010-12-15,5.02,5.2,5.0,5.11,19338.0
2010-12-16,5.33,5.33,5.05,5.21,55697.0
2010-12-17,5.27,5.75,5.27,5.65,117152.0
2010-12-20,5.89,6.1,5.6101,5.93,109133.0
2010-12-21,6.1,6.25,6.05,6.08,90976.0
2010-12-22,6.15,6.2,5.91,5.99,60129.0
2010-12-23,5.95,6.0761,5.79,6.07,29205.0
2010-12-27,6.09,6.09,5.73,5.98,47710.0
2010-12-28,5.95,6.16,5.87,5.87,38013.0
2010-12-29,5.86,6.07,5.86,6.04,34626.0
2010-12-30,6.05,6.4,6.01,6.38,133987.0
2010-12-31,6.35,6.43,6.23,6.25,58058.0
2011-01-03,6.3355,6.3499,6.05,6.05,57698.0
2011-01-04,6.2,6.2,5.83,5.87,67019.0
2011-01-05,5.885,6.0,5.67,5.78,40275.0
2011-01-06,5.8099,6.0,5.8,5.81,40750.0
2011-01-07,5.99,7.3399,5.97,5.97,766476.0
2011-01-10,6.2,6.2001,5.91,5.95,98322.0
2011-01-11,6.12,6.149,5.94,6.08,66317.0
2011-01-12,6.15,6.15,5.95,5.99,68848.0
2011-01-13,6.05,6.05,5.83,5.85,61935.0
2011-01-14,5.85,5.9699,5.75,5.83,70481.0
2011-01-18,5.97,5.97,5.82,5.84,43343.0
2011-01-19,5.88,6.14,5.75,5.78,116901.0
2011-01-20,5.85,5.85,5.61,5.67,57229.0
2011-01-21,5.7,5.71,5.5,5.7,59573.0
2011-01-24,5.7,5.81,5.7,5.77,16184.0
2011-01-25,5.77,5.7701,5.52,5.75,36010.0
2011-01-26,5.64,5.64,5.52,5.59,38679.0
2011-01-27,5.56,5.6011,5.5,5.52,23517.0
2011-01-28,5.52,5.6,5.28,5.34,74414.0
2011-01-31,5.3,5.3,5.02,5.11,68780.0
2011-02-01,5.17,5.2001,5.1393,5.199,26138.0
2011-02-02,5.2,5.2,5.02,5.0899,37727.0
2011-02-03,5.05,5.11,4.84,4.86,88847.0
2011-02-04,4.89,4.89,4.4,4.48,188726.0
2011-02-07,4.5,4.63,4.48,4.48,68749.0
