2017-05-17,15.0,15.24,13.35,15.0,2707317.0
2017-05-18,14.88,16.88,14.86,16.6,316116.0
2017-05-19,16.61,16.79,16.12,16.52,101137.0
2017-05-22,16.55,16.87,16.27,16.57,66498.0
2017-05-23,16.49,16.65,16.155,16.36,42716.0
2017-05-24,16.34,16.91,16.334,16.57,57821.0
2017-05-25,16.69,17.0,16.45,16.81,50517.0
2017-05-26,16.91,17.52,16.6,17.24,98785.0
2017-05-30,17.52,17.98,17.52,17.92,51815.0
2017-05-31,18.2,18.63,17.26,18.3,175669.0
2017-06-01,18.89,19.74,18.417,18.93,90453.0
2017-06-02,18.89,19.79,18.43,18.94,85387.0
2017-06-05,19.27,20.6,18.986,19.14,66554.0
2017-06-06,19.1,19.979,17.5,18.09,167555.0
2017-06-07,18.0,18.98,17.07,18.5,56621.0
2017-06-08,18.52,19.18,18.1,18.67,32706.0
2017-06-09,18.46,19.16,18.27,18.59,67959.0
2017-06-12,18.6,18.97,17.58,17.99,97441.0
2017-06-13,18.2,18.5,17.005,17.24,101037.0
2017-06-14,17.15,17.53,16.2,16.59,55304.0
2017-06-15,16.4,17.4,16.4,16.55,74333.0
2017-06-16,16.59,17.24,16.55,17.12,56181.0
2017-06-19,16.98,17.52,16.72,17.02,18382.0
2017-06-20,17.0,17.48,16.66,16.81,15928.0
2017-06-21,16.83,17.525,16.51,16.85,123627.0
2017-06-22,17.305,17.75,16.85,17.54,140043.0
2017-06-23,17.62,18.25,16.54,17.59,52202.0
2017-06-26,17.6,18.22,17.215,18.0,154932.0
2017-06-27,17.64,18.72,17.61,18.2,263108.0
2017-06-28,18.65,18.774,17.727,18.1,48594.0
2017-06-29,17.98,19.07,17.595,18.0,61860.0
2017-06-30,17.87,18.28,17.17,17.44,63729.0
2017-07-03,17.6,17.75,17.1,17.55,57744.0
2017-07-05,17.55,17.935,17.01,17.12,27324.0
2017-07-06,16.97,17.43,16.55,16.72,16979.0
2017-07-07,16.69,17.2,16.69,16.9,8272.0
2017-07-10,16.9,17.17,16.57,16.64,13139.0
2017-07-11,16.65,16.85,15.55,15.55,19405.0
2017-07-12,15.54,15.69,15.03,15.36,21058.0
2017-07-13,15.31,15.43,15.05,15.24,88518.0
2017-07-14,15.85,16.19,15.25,15.42,40151.0
2017-07-17,15.23,15.54,15.085,15.49,42230.0
2017-07-18,15.77,16.284,15.0426,15.46,79889.0
2017-07-19,15.44,15.8,15.01,15.4,29090.0
2017-07-20,15.4,16.496,14.94,15.1,32134.0
2017-07-21,14.97,15.33,14.17,15.21,29154.0
2017-07-24,15.406,15.78,14.9,15.02,7017.0
2017-07-25,14.92,15.407,14.39,15.01,42057.0
2017-07-26,15.23,15.23,14.5,14.6,26488.0
2017-07-27,14.8,14.8,14.0,14.69,23170.0
2017-07-28,14.82,15.0,14.14,14.7,21303.0
2017-07-31,14.94,14.94,14.23,14.23,7938.0
2017-08-01,14.13,14.19,13.35,13.51,31657.0
2017-08-02,13.51,13.87,12.13,13.0,57938.0
2017-08-03,12.85,13.187,12.51,12.53,21970.0
2017-08-04,12.5,13.3,12.04,13.12,65395.0
2017-08-07,13.05,13.71,12.409,13.27,69295.0
2017-08-08,13.449,13.45,12.85,12.85,21169.0
2017-08-09,12.67,12.67,12.27,12.53,28749.0
2017-08-10,12.54,12.68,12.27,12.59,12765.0
2017-08-11,12.07,12.82,12.05,12.77,17364.0
2017-08-14,12.58,13.63,12.569,13.0,28564.0
2017-08-15,13.57,14.47,12.64,14.4,86577.0
2017-08-16,14.53,14.75,13.5,13.95,62733.0
2017-08-17,13.87,15.94,13.87,15.63,106818.0
