2017-11-09,13.0,14.7,13.0,13.5,42504232.0
2017-11-10,14.04,14.69,13.68,13.85,12580379.0
2017-11-13,14.0,14.07,13.66,13.82,4346619.0
2017-11-14,13.7,13.84,13.0,13.0,8635128.0
2017-11-15,12.88,13.0,12.5,12.69,6820791.0
2017-11-16,12.89,13.35,12.85,13.27,2799758.0
2017-11-17,13.3,13.6,13.19,13.19,3288962.0
2017-11-20,13.43,13.589,13.27,13.55,1716454.0
2017-11-21,13.65,13.77,13.56,13.7,2305750.0
2017-11-22,13.75,13.82,13.51,13.55,2094191.0
2017-11-24,13.67,13.67,12.82,13.05,2386538.0
2017-11-27,13.01,13.38,12.95,13.05,1576064.0
2017-11-28,13.05,13.23,12.86,12.92,1722392.0
2017-11-29,13.0,13.05,12.1,13.05,3824160.0
2017-11-30,12.69,12.79,12.22,12.3,3321182.0
2017-12-01,12.35,12.41,11.0,11.16,3688665.0
2017-12-04,11.67,11.68,10.85,11.0,3490516.0
2017-12-05,11.0,11.93,11.0,11.7,2113461.0
2017-12-06,11.53,11.56,11.3,11.43,1550197.0
2017-12-07,11.68,11.96,11.53,11.63,1377168.0
2017-12-08,11.7,11.88,11.57,11.65,644840.0
2017-12-11,11.99,12.0972,11.72,11.94,1118304.0
2017-12-12,12.0,12.05,11.58,11.67,714134.0
2017-12-13,11.61,11.76,11.38,11.4,901369.0
2017-12-14,11.23,11.47,11.025,11.1,897006.0
2017-12-15,11.14,11.32,11.05,11.19,532817.0
2017-12-18,11.34,11.58,11.22,11.37,1026742.0
2017-12-19,11.67,11.87,11.5,11.72,1259828.0
2017-12-20,11.84,11.88,11.42,11.61,1102542.0
2017-12-21,11.73,11.8,11.45,11.6,866573.0
2017-12-22,11.51,11.79,11.46,11.66,619205.0
2017-12-26,11.7,11.88,11.66,11.72,464211.0
2017-12-27,11.72,12.0,11.71,11.81,659031.0
2017-12-28,11.8,11.84,11.61,11.74,379191.0
2017-12-29,11.7,11.72,11.4859,11.57,1162632.0
2018-01-02,11.55,11.92,11.55,11.9,915746.0
2018-01-03,12.0,12.01,11.7,11.9,1221299.0
2018-01-04,12.0,12.28,11.98,12.17,2175365.0
2018-01-05,12.23,12.75,12.23,12.53,1946450.0
2018-01-08,12.67,13.0,12.665,12.82,2522207.0
2018-01-09,12.98,13.0,12.6,12.62,1786841.0
2018-01-10,12.55,12.73,12.26,12.61,1240654.0
2018-01-11,12.58,12.8,12.4125,12.46,865353.0
2018-01-12,12.59,12.6299,12.2,12.33,1042392.0
2018-01-16,12.4,12.53,12.04,12.16,1423586.0
2018-01-17,12.13,12.19,11.64,11.75,1919395.0
2018-01-18,11.74,11.78,11.45,11.47,1761694.0
2018-01-19,11.58,11.99,11.42,11.44,1500453.0
2018-01-22,11.48,11.5064,11.1,11.18,2086163.0
2018-01-23,11.84,11.84,11.25,11.29,2113967.0
2018-01-24,11.43,11.85,11.42,11.62,1975864.0
2018-01-25,12.16,12.16,11.45,11.53,2119817.0
2018-01-26,11.62,12.4,11.61,12.32,2915145.0
2018-01-29,11.75,11.75,11.0,11.17,11371448.0
2018-01-30,11.15,11.3,10.64,10.65,5929465.0
2018-01-31,10.78,10.88,10.155,10.28,5394855.0
2018-02-01,10.16,10.4,10.02,10.28,2048761.0
2018-02-02,10.22,10.29,10.01,10.2,2003718.0
2018-02-05,9.93,9.99,9.5,9.53,3091812.0
2018-02-06,9.2,10.44,9.03,10.29,4061244.0
2018-02-07,10.47,10.47,9.38,9.47,5133544.0
2018-02-08,9.56,9.75,8.9255,9.03,3426820.0
2018-02-09,9.09,9.24,8.08,8.74,4435067.0
2018-02-12,8.9,9.22,8.735,9.11,1799185.0
2018-02-13,9.19,9.88,9.1598,9.78,3225356.0
2018-02-14,9.65,9.745,9.32,9.45,2362771.0
2018-02-15,9.5,9.68,9.31,9.48,1368244.0
2018-02-16,9.4,9.59,9.4,9.42,964074.0
2018-02-20,9.41,9.48,9.22,9.28,768219.0
2018-02-21,9.36,9.51,9.25,9.34,960218.0
2018-02-22,9.31,9.4099,9.2,9.26,612161.0
2018-02-23,9.32,9.3486,9.05,9.08,1143075.0
2018-02-26,9.1,9.2,9.1,9.14,720906.0
2018-02-27,9.1,9.15,8.92,8.95,979945.0
2018-02-28,8.92,8.985,8.8,8.8,872560.0
2018-03-01,8.82,9.16,8.8,8.97,1099076.0
2018-03-02,9.18,9.4,9.01,9.33,1556010.0
2018-03-05,9.21,9.49,9.12,9.34,1186859.0
2018-03-06,9.37,9.76,9.34,9.63,1174831.0
2018-03-07,9.52,9.76,9.51,9.68,812057.0
2018-03-08,9.72,9.99,9.61,9.9,1508646.0
2018-03-09,9.97,9.99,9.62,9.68,1161049.0
2018-03-12,9.63,9.69,9.345,9.48,1324742.0
2018-03-13,9.73,9.84,9.48,9.52,969561.0
2018-03-14,9.56,9.7,9.445,9.53,735232.0
2018-03-15,9.5,9.77,9.4,9.49,1366329.0
2018-03-16,9.55,9.85,9.55,9.8,1582646.0
2018-03-19,9.84,9.84,9.52,9.59,2437448.0
2018-03-20,9.67,9.74,9.42,9.44,1347166.0
2018-03-21,9.42,9.445,9.23,9.28,934546.0
2018-03-22,9.13,9.13,8.875,8.96,2181963.0
2018-03-23,8.9,8.96,8.3,8.41,2745707.0
2018-03-26,8.69,8.72,8.105,8.32,2127536.0
2018-03-27,8.41,8.59,8.22,8.27,2282339.0
2018-03-28,8.3,8.4,8.13,8.2,1559503.0
