2008-08-12,3.5,3.5,3.5,3.5,110500.0
2008-08-13,4.0,4.15,4.0,4.15,3000.0
2008-08-14,3.95,3.95,3.95,3.95,2500.0
2008-08-15,3.95,3.95,3.95,3.95,1137.0
2008-08-18,3.9,3.95,3.9,3.95,5500.0
2008-08-19,3.95,3.95,3.95,3.95,0.0
2008-08-20,3.95,3.95,3.95,3.95,200.0
2008-08-21,3.95,3.95,3.95,3.95,2150.0
2008-08-22,4.05,4.05,4.0,4.0,9325.0
2008-08-25,4.05,4.05,4.05,4.05,6100.0
2008-08-26,4.0,4.0,4.0,4.0,500.0
2008-08-27,4.0,4.0,4.0,4.0,0.0
2008-08-28,3.9,3.9,3.9,3.9,5500.0
2008-08-29,3.75,3.75,3.74,3.74,1000.0
2008-09-02,3.85,3.85,3.8,3.8,2500.0
2008-09-03,3.8,3.84,3.8,3.84,2500.0
2008-09-04,3.85,3.85,3.85,3.85,1500.0
2008-09-05,3.85,3.85,3.85,3.85,3000.0
2008-09-08,3.7,3.7,3.7,3.7,1000.0
2008-09-09,3.7,3.7,3.6,3.62,2150.0
2008-09-10,3.55,3.57,3.0,3.25,6600.0
2008-09-11,3.25,3.25,3.25,3.25,0.0
2008-09-12,3.0,4.05,3.0,4.0,17863.0
2008-09-15,3.65,3.65,2.0,2.4,24600.0
2008-09-16,3.25,3.25,3.25,3.25,100.0
2008-09-17,2.1,2.88,1.6,2.88,36500.0
2008-09-18,2.5,2.75,2.4,2.75,7200.0
2008-09-19,2.8,2.8,2.8,2.8,1000.0
2008-09-22,2.95,3.05,2.95,3.05,8000.0
2008-09-23,3.2,3.2,3.1,3.1,2400.0
2008-09-24,3.0,3.0,3.0,3.0,2000.0
2008-09-25,3.0,3.25,3.0,3.0,2250.0
2008-09-26,3.0,3.25,3.0,3.0,4090.0
2008-09-29,2.9,3.0,2.9,3.0,4000.0
2008-09-30,2.5,3.49,2.5,3.49,4800.0
2008-10-01,3.0,3.0,3.0,3.0,1200.0
2008-10-02,2.1,2.55,1.76,2.35,108100.0
2008-10-03,2.5,2.625,2.5,2.5,2650.0
2008-10-06,2.5,2.5,2.5,2.5,2300.0
2008-10-07,2.5,2.5,2.5,2.5,0.0
2008-10-08,2.5,2.5,2.5,2.5,0.0
2008-10-09,3.25,3.25,3.25,3.25,500.0
2008-10-10,2.75,3.8,2.75,3.5,8000.0
2008-10-13,3.5,3.5,3.5,3.5,0.0
2008-10-14,3.25,3.25,3.25,3.25,500.0
2008-10-15,3.3,3.3,3.3,3.3,1000.0
2008-10-16,3.3,3.3,3.3,3.3,0.0
2008-10-17,3.3,3.3,3.3,3.3,0.0
2008-10-20,3.35,3.55,3.35,3.55,1600.0
2008-10-21,3.55,3.55,3.55,3.55,0.0
2008-10-22,3.55,3.55,3.55,3.55,0.0
2008-10-23,3.55,3.55,3.55,3.55,0.0
2008-10-24,3.55,3.55,3.55,3.55,0.0
2008-10-27,3.55,3.55,3.55,3.55,0.0
2008-10-28,3.55,3.55,3.55,3.55,0.0
2008-10-29,3.55,3.55,3.55,3.55,0.0
2008-10-30,3.0,3.0,3.0,3.0,500.0
2008-10-31,3.0,3.0,3.0,3.0,0.0
2008-11-03,3.1,3.25,3.1,3.1,1500.0
2008-11-04,3.15,3.15,3.15,3.15,500.0
2008-11-05,3.1,3.1,3.1,3.1,500.0
2008-11-06,2.75,2.75,2.75,2.75,500.0
2008-11-07,2.75,2.75,2.75,2.75,500.0
2008-11-10,3.0,3.0,3.0,3.0,500.0
