2018-06-14,16.3,16.94,16.07,16.68,6312376.0
2018-06-15,16.45,16.83,16.05,16.62,639197.0
2018-06-18,16.44,16.5,16.03,16.1,282232.0
2018-06-19,15.89,15.89,15.0,15.11,950469.0
2018-06-20,15.2,15.8,15.15,15.79,851054.0
2018-06-21,15.8,15.9399,15.3866,15.63,194180.0
2018-06-22,15.57,15.6,15.05,15.3,282196.0
2018-06-25,15.38,15.44,14.34,14.46,517204.0
2018-06-26,14.38,14.5,13.46,13.52,615017.0
2018-06-27,13.44,13.95,12.63,12.66,857112.0
2018-06-28,12.79,13.72,12.61,13.67,769690.0
2018-06-29,13.58,15.55,13.58,15.14,871177.0
2018-07-02,15.12,15.3,14.71,15.2,199695.0
2018-07-03,15.3,15.6,15.27,15.31,146051.0
2018-07-05,15.37,15.4504,15.15,15.33,223082.0
2018-07-06,15.44,15.79,15.35,15.77,316676.0
2018-07-09,16.03,16.04,15.3,15.49,747985.0
2018-07-10,15.5,15.88,15.36,15.64,310826.0
2018-07-11,15.6,16.07,15.35,15.82,235074.0
2018-07-12,16.0,16.0,15.4,15.59,362857.0
2018-07-13,15.56,15.83,14.9755,15.64,190234.0
2018-07-16,15.61,15.67,14.33,14.71,498044.0
2018-07-17,14.56,14.74,14.4,14.42,350868.0
2018-07-18,14.4,15.11,14.3384,14.84,180079.0
2018-07-19,14.9,15.3,14.0,14.79,186044.0
2018-07-20,14.7,15.14,14.59,14.85,137368.0
2018-07-23,15.06,15.49,14.6501,15.29,97132.0
2018-07-24,15.43,15.43,13.82,14.16,323463.0
2018-07-25,14.22,14.22,13.25,13.34,977639.0
2018-07-26,13.31,13.34,12.66,13.1,305024.0
2018-07-27,13.23,13.64,12.7,13.09,221169.0
2018-07-30,13.03,13.33,12.85,13.07,175129.0
2018-07-31,12.9,13.35,12.75,13.1,294013.0
2018-08-01,12.95,13.24,12.77,13.02,158437.0
2018-08-02,13.0,13.5,12.91,13.48,257781.0
2018-08-03,13.76,13.86,13.0,13.33,255985.0
2018-08-06,13.45,13.74,13.43,13.66,300246.0
2018-08-07,13.72,14.08,13.625,13.92,456317.0
2018-08-08,13.87,14.17,13.87,14.09,340808.0
2018-08-09,14.08,14.16,13.71,14.05,191045.0
2018-08-10,13.95,14.1,13.61,14.04,256496.0
2018-08-13,14.07,14.1,13.8322,13.99,111723.0
2018-08-14,14.01,14.32,13.81,14.18,182663.0
2018-08-15,14.11,14.25,13.61,14.0,183972.0
2018-08-16,14.03,14.24,13.8,14.07,262406.0
2018-08-17,13.96,14.07,13.77,14.0,143854.0
2018-08-20,14.03,14.25,13.91,14.17,169226.0
2018-08-21,14.19,14.32,14.12,14.28,339376.0
2018-08-22,14.27,14.49,14.1483,14.42,348537.0
2018-08-23,14.42,14.6601,14.35,14.38,179688.0
2018-08-24,14.62,14.85,14.39,14.54,127483.0
2018-08-27,14.63,15.04,14.57,14.88,146792.0
2018-08-28,14.91,14.99,14.5755,14.77,149650.0
2018-08-29,14.73,15.05,14.63,14.82,226509.0
2018-08-30,14.88,14.95,14.72,14.78,105087.0
2018-08-31,14.76,14.9481,14.57,14.79,106711.0
2018-09-04,14.69,14.97,14.63,14.82,311831.0
2018-09-05,14.82,15.08,14.55,15.01,277745.0
2018-09-06,15.08,15.44,14.705,15.21,421000.0
2018-09-07,15.15,15.84,15.15,15.78,345988.0
2018-09-10,15.93,16.3402,15.93,16.11,598956.0
2018-09-11,16.01,16.15,15.225,15.92,748936.0
2018-09-12,15.79,16.2,15.47,15.67,459414.0
2018-09-13,15.62,15.62,14.5,14.89,681078.0
2018-09-14,14.79,15.125,14.73,15.01,206400.0
2018-09-17,14.99,15.48,14.771,15.14,540187.0
2018-09-18,15.18,15.41,14.79,15.06,264692.0
2018-09-19,15.03,15.08,14.58,14.66,327305.0
2018-09-20,14.68,15.0,14.46,14.49,357467.0
2018-09-21,14.5,14.561,13.88,14.09,3198605.0
2018-09-24,14.02,14.21,13.78,14.02,314840.0
2018-09-25,14.02,14.15,13.81,13.89,291592.0
2018-09-26,13.91,14.03,13.68,13.7,202246.0
2018-09-27,13.71,13.72,13.4,13.67,212998.0
